Opportunity Name,Organization,Deadline,Source,Status,Collected At
Google Step Internship 2026,Google,2026-03-15,Direct,verified,2026-01-26 09:10:25
Smart India Hackathon Finalist,AICTE,2026-04-01,Unstop,verified,2026-01-26 09:10:25
Antigravity AI Challenge,Google DeepMind,2026-02-28,Internal,verified,2026-01-26 09:10:25
HackEclipse CU-Lucknow,"Chandigarh University, Uttar Pradesh campus",28  days left,unstop,verified,2026-03-08 06:30:02
HackArena 2K26 – A National Level Hackathon,"Jain College of Engineering & Technology, Hubballi",9  days left,unstop,verified,2026-03-08 06:30:02
Robothon '26,"National Institute of Technology (NIT), Raipur",7  days left,unstop,verified,2026-03-08 06:30:02
Mini Smart India Hackathon 2026,"Presidency University, Bengaluru",6  days left,unstop,verified,2026-03-08 06:30:02
HackXtreme (24 Hour Hackathon),"Gokaraju Lailavathi Engineering College, Hyderabad, Telangana",14  days left,unstop,verified,2026-03-08 06:30:02
Reverse Spell,"Madras Institute of Technology (MIT), Anna University, Chennai, Tamil Nadu",13  days left,unstop,verified,2026-03-08 06:30:02
Codefest – Nationwide Coding Hackathon(2026),"National Institute of Technology (NIT), Durgapur",1 month left,unstop,verified,2026-03-08 06:30:02
Build Forage,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
Project Expo Hardware,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
BuildWithAI - 24Hour Innovation Hackathon,"Presidency University (PU), Bangalore",6  days left,unstop,verified,2026-03-08 06:30:02
Codefolio 2026 - Portfolio Creation Competition,Bharatiya Vidya Bhavan's Sardar Patel Institute of Technology (SPIT),15  days left,unstop,verified,2026-03-08 06:30:02
The IoT Triathlon,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
Advaya 2.0 Hackathon,"BGS College of Engineering and Technology, Bengaluru, Karnataka",17  days left,unstop,verified,2026-03-08 06:30:02
IdeaSpark Expo 2.0,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
AItronics,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
Logic Loot Hunt: Where Clues Meet Code,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
Ignite 2K26,"K K Wagh Institute of Engineering Education and Research (KKWIEER), Nashik, Maharashtra",16  days left,unstop,verified,2026-03-08 06:30:02
Bug Hunt Marathon,"Presidency University (PU), Bangalore",10  days left,unstop,verified,2026-03-08 06:30:02
Code Relay Race,"Presidency University (PU), Bangalore",6  days left,unstop,verified,2026-03-08 13:22:50
Ui / Ux Pixel Craft : Ultimate Product Design Challenge,"Presidency University (PU), Bangalore",1 day left,unstop,verified,2026-03-08 13:22:50
Vyoma - National Level Prototype Competition,"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",16  days left,unstop,verified,2026-03-08 13:22:50
Nebulon 2026,TransStadia Education and Research Foundation,10  days left,unstop,verified,2026-03-08 13:22:50
Advaya 2.0 Hackathon 1st April 2026,"BGS College of Engineering and Technology, Bengaluru, Karnataka",17  days left,unstop,verified,2026-03-08 13:22:50
